Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,263.525,-67.0065,0.0,bottom
C2,100n,C_0402_1005Metric,270.66875,-57.6625,180.0,bottom
C3,100n,C_0402_1005Metric,261.95813,-67.496434,270.0,bottom
C4,100n,C_0402_1005Metric,261.339951,-57.765772,0.0,bottom
C5,100n,C_0402_1005Metric,270.683691,-56.633145,180.0,bottom
C6,100n,C_0402_1005Metric,271.102513,-64.724252,180.0,bottom
C7,1u,C_0402_1005Metric,271.103981,-63.783431,180.0,bottom
C8,1u,C_0402_1005Metric,148.43125,-57.94375,0.0,bottom
C9,1u,C_0402_1005Metric,148.43125,-62.795007,180.0,bottom
C10,100n,C_0402_1005Metric,100.0125,-102.39375,180.0,bottom
C11,100nF,C_0402_1005Metric,274.935518,-97.212614,180.0,bottom
C12,100nF,C_0402_1005Metric,264.863805,-97.212614,0.0,bottom
C13,100n,C_0402_1005Metric,181.76875,-102.39375,180.0,bottom
C14,220p,C_0402_1005Metric,269.468631,-74.769963,180.0,bottom
C15,100n,C_0402_1005Metric,271.115746,-66.082656,180.0,bottom
D1,PRTR5V0U2X,SOT-143,150.8125,-53.18125,0.0,bottom
F_USBC1,500mA,Fuse_1206_3216Metric,150.8125,-56.35625,0.0,bottom
R1,100k,R_0402_1005Metric,259.613426,-62.443536,0.0,bottom
R2,100,R_0402_1005Metric,259.613426,-66.701925,0.0,bottom
R3,100,R_0402_1005Metric,259.613426,-65.634562,0.0,bottom
R4,100,R_0402_1005Metric,259.613426,-64.606109,180.0,bottom
R5,100,R_0402_1005Metric,259.613426,-63.556231,180.0,bottom
R6,5.1k,R_0402_1005Metric,149.563877,-50.413798,90.0,bottom
R7,10k,R_0402_1005Metric,272.616759,-64.254304,90.0,bottom
R8,10k,R_0402_1005Metric,263.531704,-67.98125,180.0,bottom
R9,5.1k,R_0402_1005Metric,151.880851,-50.374394,270.0,bottom
R10,10k,R_0402_1005Metric,266.79375,-55.98125,90.0,bottom
R11,100k,R_0402_1005Metric,76.99375,-101.164803,270.0,bottom
R12,100k,R_0402_1005Metric,56.35625,-100.5725,270.0,bottom
R13,100k,R_0402_1005Metric,37.349771,-99.952575,270.0,bottom
R14,100k,R_0402_1005Metric,99.21875,-107.306975,270.0,bottom
R15,100k,R_0402_1005Metric,108.961023,-106.362499,90.0,bottom
R16,4.7k,R_0402_1005Metric,272.25625,-46.0375,0.0,bottom
R17,4.7k,R_0402_1005Metric,269.08125,-46.0375,0.0,bottom
R18,100k,R_0402_1005Metric,125.7521,-102.070183,270.0,bottom
R19,100k,R_0402_1005Metric,189.70625,-111.91875,270.0,bottom
R20,100k,R_0402_1005Metric,163.22875,-102.39375,0.0,bottom
R21,100k,R_0402_1005Metric,152.489007,-101.343403,270.0,bottom
R22,100k,R_0402_1005Metric,223.639054,-102.451694,270.0,bottom
R23,100k,R_0402_1005Metric,242.832727,-102.380075,270.0,bottom
R24,100k,R_0402_1005Metric,273.84375,-67.6975,90.0,bottom
R25,1k,R_0402_1005Metric,273.84375,-73.0275,270.0,bottom
R26,100k,R_0402_1005Metric,261.013719,-101.480265,270.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,265.90625,-62.425,0.0,bottom
U2,XC6206PxxxMR,SOT-23,148.43125,-60.325,90.0,bottom
U3,74HC4051,TSSOP16,104.107305,-106.36189,270.0,bottom
U5,74HC4051,TSSOP16,185.863555,-106.36189,270.0,bottom
U6,OPA350,SOIC-8_3.9x4.9mm_P1.27mm,270.66875,-70.3625,90.0,bottom
USB1,TYPEC-304YSSW-ACP16,HRO-TYPE-C-31-M-12,150.8125,-39.965,180.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,271.4625,-60.43125,270.0,bottom
